"Dealer Name","Dealer Type","Address","City","State","Pincode","Contact","Email"
"KANAK SUZUKI","Domestic Bike Dealers","Shop No. 3 & 4, Royal Residency, Vidhrali Naka, Old Panvel-410206. Dist; Raigad, Maharashtra","Raigarh(MH)","Maharashtra","410206","9870432028 (Partner), 8879478020 (SM), 7798880802 (WM), 8655286773 (SP)","panvel.kanank.sales@suzukidealers.net"
"KANYA SUZUKI","Domestic Bike Dealers","322/2B, Kattuvillai, Nalloor, Marthandam, Kanyakumari District - 629165, TamilNadu","Kanyakumari","Tamil Nadu","629165","Sales-8220472266, Service-8220482266, Spares-8148709026","marthandam.kanya.sales@suzukidealers.net"
"KAPURTHALA SUZUKI","Domestic Bike Dealers","Circular Road,Kapurthala, Punjab-144601","Kapurthala","Punjab","144601","01822-234263/234963/9876438963, 9877008963,9872808963,9815508963","kapurthala.radhe.sales@suzukidealers.net"
"KARAN SUZUKI","Domestic Bike Dealers","Plot No. 2/11, 12, 13, Vijay Vasant Complex, G.E. Road, Power House, District - Durg, Bhilai - 490023, Chhattisgarh","Durg","Chattisgarh","490023","9993456789, 9993918000, 0771-2426430, 4025757, 4281313","bhilai.kanki.sales@suzukidealers.net"
"Kella Suzuki","Domestic Bike Dealers","Opp. Sub Urban Bank, Vidya Nagar, Yellapur Road, Sirsi, -581402, Uttar Kannada, Karnataka.","Uttara Kannada","Karnataka","581402","Showroom : 9632922770, Workshop : 9845970770","sirsi.kella.sales@suzukidealers.net"
"KESHAV SUZUKI","Domestic Bike Dealers","VPO Bhira Tehsil and Distt. Hamirpur - 177001 (Himachal Pradesh)","Hamirpur(HP)","Himachal Pradesh","177001","7807100277 / 7807500277 / 7807700277","hamirpur.keshavbike.sales@suzukidealers.net"
"KESHAV SUZUKI","Domestic Bike Dealers","Near Bank of Baroda, KDB Road, Kurukshetra - 136118","Kurukshetra","Haryana","136118","9813147343/7027170902 /9729527603  /7027170904","kurukshetra.keshav.sales@suzukidealers.net"
"KESHAV SUZUKI?","Domestic Bike Dealers","Sun Center, Manhalli, Road Bidar-585403, Karnataka","Bidar","Karnataka","585403","9448132716 .9620992546 / 9916980688  /7795218407 /08482-234027","bidar.keshav.sales@suzukidealers.net"
"Khatwani Suzuki","Domestic Bike Dealers","Showroom Address: Kartar Cottage, Ward No.18, Burhar Road, Suhagpur, Shahdol- 484001, Madhya Pradesh Workshop Address: Kartar Cottage, Ward No.18, Burhar Road, Suhagpur, Shahdol- 484001, Madhya Pradesh","Umaria","Madhya Pradesh","484001","6262070777, 07652-230255","shahdol.khatwani.sales@suzukidealers.net"
"KHURANA MOTORS","Domestic Bike Dealers","Plot No.1A, Sudarshan Nagar, Link Road, Saharanpur - 247001","Saharanpur","Uttar Pradesh","247001","0132-2716014 / 2715054telefax / 9837637747, 9837033905","saharanpur.gskhurana.sales@suzukidealers.net"
"KIRAN MOTORS SUZUKI","Domestic Bike Dealers","Nr. Devasya International School, Nr. Haridarshan Cross Road, Nikol Road Nava Naroda - 382330, Ahmedabad, Gujarat.","Ahmedabad","Gujarat","382330","9824061111 (M.D.), 9924324243,(GM)9924209904 (SM),8758684144 (WM), 9737476501 (SP)","ahmedabad.kiran.sales@suzukidealers.net"
"Kiran Suzuki","Domestic Bike Dealers","Showroom - MG-6, 1/1, Sion Trombay Road, Suman Nagar,Chembur, Mumbai-400071, MaharashtraWorkshop - Unit No-E1, E2, Mangalmurti Industrial Premises, CST Survey No-22, Part Village, Deonar, Govandi STN Road, Govandi, Mumbai-400088, Maharashtra","Mumbai","Maharashtra","400071","Showroom - 9326813976,  Workshop - 9326813976","chembur.kiran.sales@suzukidealers.net"
"KISHANGANJ SUZUKI","Domestic Bike Dealers","Rabbani Automobiles, Ekbal Colony Thakurganj Road, Amera Samsi, Near Paschimpali, Kishanganj - 855107, Bihar","Kishanganj","Bihar","855107","9973107885  /9801349696 /9096746969  /7654357142","kishanganj.rabbani.sales@suzukidealers.net"
"KRISHNA SUZUKI","Domestic Bike Dealers","Plot No. 325, Ward 12B, P.O. No. 77, Gandhidham (Kachchh) 370201","Kachchh","Gujarat","370201","91-2836-239712? /98252-27000/95252-26000","gandhidham.kbikes.sales@suzukidealers.net"
"Krishna Suzuki","Domestic Bike Dealers","1.4th KM Bareilly Gate, Opp Sayyed Market, Bilaspur Road - 244901, Rampur Uttar Pradesh","Rampur","Uttar Pradesh","244901","9927752100 / 7055505341 / 7055505342 / 7055505343-45","rampur.krishnaauto.sales@suzukidealers.net"
"KRP SUZUKI","Domestic Bike Dealers","176, Rani Bazar Industrial Area,Bikaner - 334001","Bikaner","Rajasthan","334001","Sales : 9829027254, 8875029385 Service : 9783828406","bikaner.krp.sales@suzukidealers.net"
"KRYSTAL SUZUKI","Domestic Bike Dealers","Dwarka Puram, Opp. Kamla Nagar ByPass Road, Agra - 282005","Agra","Uttar Pradesh","282005","7454966111; 9837217111","agra.kalyan.sales@suzukidealers.net"
"KSS SUZUKI","Domestic Bike Dealers","No:-3,Nivathana Nagar,Palakkad Main Road,Pollachi-642001","Coimbatore","Tamil Nadu","642001","9894624989 /9095388644 /9095488644  /9095688644 /9095588644","pollachi.kss.sales@suzukidealers.net"
"KUBER SUZUKI","Domestic Bike Dealers","Road No 3 ,Jhunjhunu - 333001, Rajasthan","Jhujhunu","Rajasthan","333001","9672940555, 9672941555, 9672979810, 9672942555, 9672979812","jhunjhunu.gulab.sales@suzukidealers.net"
"KUBERA SUZUKI","Domestic Bike Dealers","Mumbai- Agra Road, Near Shagun Lawns, Pimpalgaon Baswant , Nashik- 422209, Maharashtra","Nashik","Maharashtra","422209","9422253344 (MD), 7709175040 (SM), 8484844811 (WM), 7057821561 (SP)","nashik.kubera.sales@suzukidealers.net"
"LAKHIMPUR SUZUKI","Domestic Bike Dealers","Near B K Automobiles, L.R.P Road, Lakhimpur Kheri (U.P.) - 262701","Kheri","Uttar Pradesh","262701","9918901805 (Partner), 05872-263126","lakhimpur.lakhimpur.sales@suzukidealers.net"
"LAKSHMI SUZUKI","Domestic Bike Dealers","door no. 3410/F1, near hotel sai international P.B. road, Davangere-6,pin-577006","Davangere","Karnataka","577006","9844255540/ 08192-235994","davangere.kalleshwara.sales@suzukidealers.net"
"LAXMI AUTOMOTIVE","Domestic Bike Dealers","Rajkot Ahmedabad Highway, Nr. Aheshwari, Bajaj Showroom, Wadhwancity, Surendranagar -363035","Surendra Nagar","Gujarat","363035","9825223637/9924111118/9879111118/(0275)2242111,652001","surendranagar.laxmi.sales@suzukidealers.net"
"LAXMI SUZUKI","Domestic Bike Dealers","In front of St. Teresa's Girl School, Dudhani, Dumka - 814101, Jharkhand","Dumka","Jharkhand","814101","9431156058(Partner),9905148585(SM),9122964145(WM),9504471172(SP)","dumka.veenavehicle.sales@suzukidealers.net"
"LEELA SUZUKI","Domestic Bike Dealers","Charkha Complex, Akola Naka Washim - 444505 Maharashtra.","Washim","Maharashtra","444505","7588758758 /9921680558 /9765011697  /7083390500","leelamotors.sales@suzukidealers.net"
"Maanu Suzuki","Domestic Bike Dealers","Nirav Heritage, G1-5, Near ONGC Township, Gadkhol Patia, Ankleshwar, Bharuch-393010, Gujarat.","Bharuch","Gujarat","393010","7572844555 ; 7574847555","ankleshwar.maanu.sales@suzukidealers.net"
"MAANYA SUZUKI","Domestic Bike Dealers","H.No.3-6-244/2, Pitambar Lok, Himayathnagar, Hyderabad-500029, Telangana","Hyderabad","Telangana","500029","040-48516660, 6302865724","hyderabad.maanya.sales@suzukidealers.net"
"Madhav Suzuki","Domestic Bike Dealers","Panchshil Plaza, Opp. Prakash Motors, Nr Chikodra Anand Bridge, Anand- 388001, Gujarat.","Anand","Gujarat","388001","6353702364;6353702365;6353702366","anand.madhav.sales@suzukidealers.net"
"Mahalaxmi Suzuki","Domestic Bike Dealers","Showroom: Plot No-712: 168/169/170, B K College Road, Ambedkar Nagar, Chikodi-591201, Belgaum District, Karnataka Workshop: 3166/1463/4, Near IOB, B.K. College Road, Chikodi- 591201","Belgaum","Karnataka","591201","+91-6364846265, +91-6364846266","chikodi.kokane.sales@suzukidealers.net"
"Manbhum Suzuki","Domestic Bike Dealers","Goushala More, Alongi Danga, Purulia-723101, West Bengal","Puruliya","West Bengal","723101","03252- 222021/ 9332026936","purulia.manbhum.sales@suzukidealers.net"
"Manickbag Suzuki","Domestic Bike Dealers","CTS No: 4916 Dharward Road Belgaum-590001,Karnataka","Belgaum","Karnataka","590001","9900026463, 9964494118, 9742434553, 9986327620, 0831-4212000","belgaum.manickbag.sales@suzukidealers.net"
"MAYA SUZUKI","Domestic Bike Dealers","Maya Motorcycles Pvt. Ltd., 79, L.B. Road, Adyar, Chennai-600020, Tamilnadu","Chennai","Tamil Nadu","600020","9087884005 / 9087884006 / 9087884009 / 9087884019/ 9087884018","chennai.mayamotorcycle.sales@suzukidealers.net"
"MAYA SUZUKI","Domestic Bike Dealers","Showroom: Main Road, Near Bank More, Ward no. 21, Madhubani, Bihar - 847211Workshop: Buddh Nager Colony, Ward no. 30, Near Jaldhari chowk, Madhubani - 847211","Madhubani","Bihar","847211","9570640071 (SM) 9570801071 (WM), 06276-228171","madhubani.jagdishmaya.sales@suzukidealers.net"
"MEHTA SUZUKI","Domestic Bike Dealers","41-42 Mehta industries, Dahod road, Banswara,Rajasthan-327001","Banswara","Rajasthan","327001","9414101768 (Dir), 9649906816 (SM), 9649906819 (WM), 9649906815,17 (Sales), 02962-257332, 257333","banswara.banswara.sales@suzukidealers.net"
"MERCURY SUZUKI","Domestic Bike Dealers","No.19/1, Imperial Road, Salakarai, Cuddalore- OT, Cuddalore-607003, Tamil Nadu","Cuddalore","Tamil Nadu","607003","","cuddalore.app.sales@suzukidealers.net"
"MERCURY SUZUKI","Domestic Bike Dealers","Permanent: Olanthai Keerapalyam, 100 ft Road, Opposite RTO, Pudducherry-605004.","Pondicherry","Pondicherry","605004","0413-2281414/6457222/2206025/9899111477,","pondicherry.app.sales@suzukidealers.net"
"MIDNAPORE SUZUKI?","Domestic Bike Dealers","Plot No. P-312, Holding No. 681/A/59, Vidyasagar University Road, Tantigeria, Midnapore - 721102,","West Midnapore","West Bengal","721102","9434021693, 03222-263493, 263492","midnapore.chatturbhuj.sales@suzukidealers.net"
"MIRZAPUR SUZUKI","Domestic Bike Dealers","Bharuhana Chauraha, Mirzapur, UP-231001","Mirzapur","Uttar Pradesh","231001","9415003705, 9335723952, 05442-222722","mirzapur.yashwi.sales@suzukidealers.net"
"MITHRA SUZUKI","Domestic Bike Dealers","H.No.1-7-874, Sahakara Nagar, Hunter Road, Hanamkonda, Warangal-506001, Telangana","Warangal","Telangana","506001","7799131111 /9553027505 /9848138480  /9849654891","hanamkonda.mithra.sales@suzukidealers.net"
"Mohan Motor","Domestic Bike Dealers","Showroom: 630, Uttar Panchanna Gram Kolkata-700100, West Bengal / Workshop: Arupota off EM byepass, Near Science City, Kolkata-700100","South 24 Parganas","West Bengal","700100","8585048490, 8585048498","SALES-UPG@MOHANMOTORSUZUKI.COM"
"MONA SUZUKI","Domestic Bike Dealers","House No. 410, Gat  No. 250\251\252, Goregaon- Nagpur Road, Phulchur, Gondia- 441601, Maharashtra","Gondia","Maharashtra","441601","07507503435, 07507502245","gondia.monamotors.sales@suzukidealers.net"
"Munda Suzuki","Domestic Bike Dealers","Opp. Hotel luxura, Dahod Road, Godhra -389001, Gujarat","Panch Mahals","Gujarat","389001","9624852288, 9426003173","godhra.munda.sales@suzukidealers.net"
"Muneer Suzuki","Domestic Bike Dealers","NO-448, A No.470, 16th Ward, Basveshwara Badavani, 100 Bed Hospital Road, Amaravathi, Hosapete-583202","","","583202","9900702149","hosapete.muneer.sales@suzukidealers.net"
"MUZAFFARNAGAR SUZUKI","Domestic Bike Dealers","4th K.M. Stone, Meerut Road, Near Tata Dharam Kanta, Muzaffarnagar - 251003, U. P.","Muzaffarnagar","Uttar Pradesh","251003","9219420521/9219420621,9837030117","muzaffarnagar.gourangi.sales@suzukidealers.net"
"NANDA MOTORS","Domestic Bike Dealers","Nanda Vertex, Nawathe Square, Badnera Road, Amrawati-444605","Amravati","Maharashtra","444605","9890230003, 9422956775 / 9422956776/9823270001 / 0721-2512111 / 2512211","amravati.nanda.sales@suzukidealers.net"
"NANGIA SUZUKI","Domestic Bike Dealers","Shop no. 4 & 5, Yeshwant Stadium, Dhantoli Garden, Nagpur - 440012, Maharashtra","Nagpur","Maharashtra","440012","9823122229 / 9158893061 / 0712-6468048/49/50","nagpur.nangia.sales@suzukidealers.net"
"NAVASARI SUZUKI","Domestic Bike Dealers","Shop No.1 & 101, Akash Ganga Apartment, Navsari Grid Road, Kabilpore, Navsari, Gujarat-396424","Navsari","Gujarat","396424","09227901045, 09227901100 / 02637-236005/007","navsari.shreedhar.sales@suzukidealers.net"
"NAYANTARA SUZUKI","Domestic Bike Dealers","65/3, Vishvavidhyalay Marg, Dewas Road, Ujjain - 456001, Madhya Pradesh","Ujjain","Madhya Pradesh","456001","9329297700, 8989697415, 8989697416, 0734-2516666, 0734-2511666","ujjain.matangi.sales@suzukidealers.net"
"Neel & Shiv Automobiles Barabanki LLP","Domestic Bike Dealers","Obri bahar seema, near Gayatri mandir, RTO office, Lucknow road, Barabanki-225001, Uttar Pradesh","Barabanki","Uttar Pradesh","225001","05248-222050, 8423180030","barabanki.neel.sales@suzukidealers.net"
"NISHANT SUZUKI","Domestic Bike Dealers","Jail Road Near Kumbharpada Police Station, Puri - 752001","Puri","Odisha","752001","7873665374, 8847884245 (MD)","puri.nisanta.sales@suzukidealers.net"
"NOBLE SUZUKI","Domestic Bike Dealers","Survey No. 72/75, Majevadi Gate, Rajkot-Junagadh Highway, Junagadh-362001, Gujarat","Junagadh","Gujarat","362001","8155811111 (MD), 8460008787 (SM), 8460009797 (WM), 7043114544 (SP)","junagadh.supernoble.sales@suzukidealers.net"
"OM SAI SUZUKI","Domestic Bike Dealers","H. No-2-1-21, Saraswathi Colony, Beside Bharat Petrol Pump, Before RTA Office, Uppal Main Road, Medchal District, Uppal, Hyderabad- 500039, Telangana","Hyderabad","Telangana","500039","9652037888 (Partner), 8790866853 (SM), 9502076446 (WM), 9346596732 (SP)","hyderabad.almond.sales@suzukidealers.net"
"OM SHRIRAM SUZUKI","Domestic Bike Dealers","Shop No. 12-329, Bellampally Road,Mancherial-504208 Dist Adilabad, Andhra Pradesh","Adilabad","Telangana","504208","9849654891,9059891027,08736-255511","mancherial.omshriram.sales@suzukidealers.net"
"P.M. SUZUKI","Domestic Bike Dealers","D, 20/21, Radheshyam Soc., Singanpore, Surat- 395004, Gujarat","Surat","Gujarat","395004","Showroom : 9925127972, Workshop : 9909327972, 9925818888","surat.pmmotors.sales@suzukidealers.net"
"PADMAJA SUZUKI","Domestic Bike Dealers","Plot No.22, 23, Veterinary Colony, Ring Road, Vijayawada-520008, Andhra Pradesh","Krishna","Andhra Pradesh","520008","9666678830 (MD), 7799652444 (SM), 9951134999 (WM), 9666441561 (SP)","vijaywada.padmaja.sales@suzukidealers.net"
"Pai Sales","Domestic Bike Dealers","Kalsank Road, Ambagilu, Udupi-576105, Karnataka","Udupi","Karnataka","576105","9845083804/ 9341840076 /9035037512/95387169269845083804/ 9341840076 /9035037512/95387169269845083804/ 9341840076 /9035037512/9538716926","udupi.paisales.sales@suzukidealers.net"
"PARAMESHWARI SUZUKI","Domestic Bike Dealers","Showroom & Workshop :- 45A/2A, Ward No.10, Opp Head Post Office, Station Road, Bagalkot-587101, Karnataka","Bagalkot","Karnataka","587101","7022002453, 7022002455, 7022005451,08354-220515","bagalkot.parameshwari.sales@suzukidealers.net"
"Pashupati Suzuki","Domestic Bike Dealers","KPM Charali, Opposite of old District Library, PO,PS & Distt. Sivasagar - 785640, Assam","Sibsagar","Assam","785640","7086065329, 8811073061","sivasagar.srikantha.sales@suzukidealers.net"
"PEAK SUZUKI","Domestic Bike Dealers","100/1, Veerappampalayam Pirivu, Perundurai Road, Thindal Post, Erode - 638009, Tamil Nadu","Erode","Tamil Nadu","638009","7338845664,9894507668","erode.peak.sales@suzukidealers.net"
"PETAL SUZUKI","Domestic Bike Dealers","Kamdhenu House, NR. Kamla Kamdhenu Hall, Drive In Road, Ahmedabad-380052, Gujrat","Ahmedabad","Gujarat","380052","(079) 27498989,40057766","ahmedabad.planet.sales@suzukidealers.net"
"Platinum Suzuki","Domestic Bike Dealers","Opp. Sadar Tehsil, Near ICICI Bank, Bairaj Road, Bijnor-246701, Uttar Pradesh.","Bijnor","Uttar Pradesh","246701","9528225424, 7017679641","bijnor.autowheels.sales@suzukidealers.net"
"PRABHU MOTORS","Domestic Bike Dealers","NT Road, Shimoga-577202","Shimoga","Karnataka","577202","9880139993,09448027818,08182-229333 Fax, 229222","shimoga.prabhu.sales@suzukidealers.net"
"PRAMOD SUZUKI","Domestic Bike Dealers","Plot No 1132 Sirar Road Tumkur - 572106 Karnataka","Tumkur","Karnataka","572106","9448951104 /9845575332 / 8951134370  /9743361702","tumkur.samhitha.sales@suzukidealers.net"
"PREM SUZUKI","Domestic Bike Dealers","NH-32, Kolakusma, Sector 1, Sahyogi nagar, Saraidhela, Dhanbad - 828127, Jharkhand","Dhanbad","Jharkhand","828127","7541811001, 7541811002, 7541811007, 7541811008, 7541811007, 7541811004, 7541811002","dhanbad.panchdeo.sales@suzukidealers.net"
"Prime Suzuki","Domestic Bike Dealers","Showroom - B No. 7, Kailashpuri, Garh Road, Meerut-250001, Uttar PradeshWorkshop - Basement no. 22, Tyagi Market, Tejgarhi, Garh Road, Meerut-250004","Meerut","Uttar Pradesh","250001","7467022022, 7467033033, 7467066066, 7467099099, 0121-2703344","meerut.maheshwari.sales@suzukidealers.net"
"PRIME SUZUKI","Domestic Bike Dealers","2-3-77, Twaipura, Tadbund, Secunderabad-500009, Telangana","Hyderabad","Telangana","500009","6309678991","hyderabad.radha.sales@suzukidealers.net"
"PRIME SUZUKI","Domestic Bike Dealers","Prachiti Chambers, Pune Banglore Highway (NH4), Warunji Phata, Karad-415110","Satara","Maharashtra","415110","02164-229311/ 221311 / 7798885444 / 7798885454","karad.digvijay.sales@suzukidealers.net"
"R Yash Vardhan  Suzuki","Domestic Bike Dealers","Near Naveen Galla Mandi, Jhansi Road Lalitpur, Uttar Pradesh - 284403","Lalitpur","Uttar Pradesh","284403","9452471337 / 7309579180 /9670806333  /9721946594 (SPD)","lalitpur.ryashvardhan.sales@suzukidealers.net"
"R.V.R. SUZUKI","Domestic Bike Dealers","S.F. No. 73, 73/1, Salem Main Road, Bharathipuram, Dharmapuri - 636705, Tamil Nadu","Dharmapuri","Tamil Nadu","636705","9952379813/ 9442633222/ 9443077463Ph:  04342-231155/  04342-232155/ 8428411123/7667227661","dharmapuri.rvraja.sales@suzukidealers.net"
"RAAM SUZUKI","Domestic Bike Dealers","Ward No.1, Nehruji Road, Bommayagoundanpatti, Theni-625531, Tamilnadu","Theni","Tamil Nadu","625531","9443307394, 9489257502, 9489257503, 9489257504","theni.sreemaalathi.sales@suzukidealers.net"
"Raj Suzuki","Domestic Bike Dealers","Showroom & Workshop:  Plot No.5, Dwarika City, Jansath Road, Muzaffarnagar-251002, Uttar Pradesh","Muzaffarnagar","Uttar Pradesh","251002","Sales - 7455000630
<br/>Service - 7455000631","muzaffarnagar.raj.sales@suzukidealers.net"
"RAJA SUZUKI","Domestic Bike Dealers","1145, College Road, Shibnagar, Agartala-799004, Tripura","West Tripura","Tripura","799004","9436168215, 0381-2387542, 0525 2383977","tripurasuzuki2009@gmail.com"
"Raju Suzuki","Domestic Bike Dealers","Showroom: Stadium Road, Near RTO Office Bahedi, Budaun-243601, Uttar Pradesh","Budaun","Uttar Pradesh","243601","8958195786, 9456024707","badaun.raju.sales@suzukidealers.net"
"Raju Suzuki","Domestic Bike Dealers","Showroom / Workshop: Jamda Main Road, P.O. & P.S.- Jhargram, District- Jhargram, Pin- 721507, West Bengal","West Midnapore","West Bengal","721507","9635853830","jhargram.raju.sales@suzukidealers.net"
"RAJVI SUZUKI","Domestic Bike Dealers","Opp. BOB, Vitthalwadi, Bhavnagar-364001, Gujarat","Bhavnagar","Gujarat","364001","9824490900 (Partner), 9870017573 (SM), 9904111882 (WM), 9724606360 (SP)","bhavnagar.rajvi.sales@suzukidealers.net"
"RAMGARH SUZUKI?","Domestic Bike Dealers","NH-33 Muramkalan, P.O Ramgarh Cantt. Distt Ramgarh Jharkhand - 829122","Ramgarh","Jharkhand","829122","9835531647 /9199983852/8809292455/9835037710  /8409095192 /06553-223178","ramgarh.satkar.sales@suzukidealers.net"
"Rathi Suzuki","Domestic Bike Dealers","Shobha Tower, Plot No. 1, Mouje- Shegaon, S.V. No. 45/3, Beside Rohini Park Hotel, Kathora, Main Road, Amravati - 444604, Maharashtra.","Amravati","Maharashtra","444604","8550950068; 7420989038; 7620751573","amravati.navalji.sales@suzukidealers.net"
"RAYAPUDI SUZUKI","Domestic Bike Dealers","House No 11-5-12/1, Ground floor,Wyra Road,Khammam-507001","Khammam","Telangana","507001","9848156105 ,9885456105,08742-252577(tele fax)-66","khammam.rayapudi.sales@suzukidealers.net"
"RIDDHI SUZUKI","Domestic Bike Dealers","Survey No.: 111, House No. 564, Temghar, Bhiwandi Kalyanroad, Bhiwandi, Dist. Thane. 421302, Maharashtra","Thane","Maharashtra","421302","9223933333  /9860535345 /9222233016  /7387574945","bhiwandi.riddhiauto.sales@suzukidealers.net"
"Riders Suzuki","Domestic Bike Dealers","Plot No-175, Transport Nagar, Korba- 495678, Chhattisgarh","","","495678","9711130284","korba.avishek.sales@suzukidealers.net"
"RISHIKESH MOTORS","Domestic Bike Dealers","Kanoria House,Palm Road, Opp. Vidhan Bhavan , Civil Lines, Nagpur-440001","Nagpur","Maharashtra","440001","09373103752 / 0712-2531451/2558090/2527956(fax)","nagpur.rishikesh.sales@suzukidealers.net"
"Roamjjym Suzuki","Domestic Bike Dealers","Model Village, Near Tajam Motors,P.O/P.S-Naharlagun, Itanagar, Distt. Papumpare-791110 Arunachal Pradesh","Papum Pare","Arunachal Pradesh","791110","9436271632 / 9436068923","Itanagar.roamjjym.sales@suzukidealers.net"
"ROONWAL SUZUKI","Domestic Bike Dealers","Old Door No. 587/Part, New Door No. 658/Part, Thiruvottiyur High Road, Old Washermenpet, Chennai - 600021, Tamilnadu","Chennai","Tamil Nadu","600021","044-43570017 / 18, 9884621755, 9884677515, 9444385710","chennai.sriroonwal.sales@suzukidealers.net"
"ROYAL SUZUKI","Domestic Bike Dealers","Showroom / Workshop: Panruti-Vadalur Road, Near Axis Bank, Indra Nagar, Neyveli - 607308, TamilNadu","Cuddalore","Tamil Nadu","607308","9384067801 / 02/ 03/ 04 / 05/ 06 / 07/ 08/ 09/ 10","neyveli.aztam.sales@suzukidealers.net"
"ROYAL SUZUKI","Domestic Bike Dealers","8, AR No. 8, Ward No 23,Behind Sharda TalkiesMadras Bangalore (MB) Road, Kolar Pin Code 563101,Karnataka","Kolar","Karnataka","563101","9886714257 /8711030692 /8904391526  /8745663744","kolar.saleema.sales@suzukidealers.net"
"RUPS SUZUKI","Domestic Bike Dealers","Biswa Singha Road (North), Near Badur Bagan Chowpathi, Cooch behar West Bengal - 736101","Cooch Behar","West Bengal","736101","9434228532 /9476360885 /9933890761  /8927952463","coochbehar.rupsauto.sales@suzukidealers.net"
"S & S SUZUKI","Domestic Bike Dealers","Door no. 27-269/1, Palamaner Road, Revenue Ward No 27, Chittoor, PIN : 517001, Andhra Pradesh","Chittoor","Andhra Pradesh","517001","9000940008 / 08572-246233","chittoor.garuda.sales@suzukidealers.net"
"S R SUZUKI","Domestic Bike Dealers","B--110 Sector -2 Noida - 201301 Uttar Pradesh","Gautam Buddha Nagar","Uttar Pradesh","201301","09818578786/ 07065563003","noida.srauto.sales@suzukidealers.net"
"S.M SUZUKI","Domestic Bike Dealers","Kundan Colony, Ratanpur Road, Dungarpur-314001, Rajasthan","Dungarpur","Rajasthan","314001","9414104928 /8233305070 /7727078284  /7615059526 /","dungerpur.shremahaveer.sales@suzukidealers.net"
"SABOO SUZUKI","Domestic Bike Dealers","5-2-120 to 122(19), Opp Bible House, Rashtrapathi Road, Secundrabad-500003","Hyderabad","Telangana","500003","9533034567,040-66387777,66388888 ,9248077777,9885077777,9848688888","hyderabad.saboo.sales@suzukidealers.net"
"SAICHANDRA SUZUKI","Domestic Bike Dealers","Near Dhuni Wala Math Nagpur Road,Wardha-442001,Maharashtra","Wardha","Maharashtra","442001","9823366444/9823550552 /9860806878 /9823489658  /8308908758 /07152 ? 255055","wardha.saichandra.sales@suzukidealers.net"
"SAINATH SUZUKI","Domestic Bike Dealers","Geeta Towers" New Mondha Near SBI Bank Kamaan VIP Road Nanded-431602, Maharashtra","Nanded","Maharashtra","431602","9822588805 /9422188805 /02462-255005 /02462-255006","nanded.sainath.sales@suzukidealers.net"
"SAINI KANGRA SUZUKI","Domestic Bike Dealers","VPO Ghurkari , Near Matour Chowk, Kangra, Himachal Pradesh-176001","Kangra","Himachal Pradesh","176001","Sales Help line:- 9882168216, 01892260413. Service Help line:-01892264313.","kangra.sainikangra.sales@suzukidealers.net"
"SAMDANI AUTOMOBILES","Domestic Bike Dealers","Near Gyatri Ashram Temple, Oppt. Sales Tax Office Ajmer Road Bhilwara-311001","Bhilwara","Rajasthan","311001","9460901854, 9468717770, 9829400197, 01482297297","bhilwara.samdani.sales@suzukidealers.net"
"SAMPADA SUZUKI","Domestic Bike Dealers","Majholi Choraha, Delhi road, Moradabad-244001 U.P.","Moradabad","Uttar Pradesh","244001","0591-2487700","moradabad.bansal.sales@suzukidealers.net"
"SAMRIDDHI SUZUKI","Domestic Bike Dealers","Usha Bhavan,Plot No-989/3, Sikraul, Shivpur,Oppt. Central Water Commission,Pannalal Park,Varanasi-221002, Uttar Pradesh","Varanasi","Uttar Pradesh","221002","9993092132/ 8808158000/ 9971691999","varanasi.prusales.sales@suzukidealers.net"
"SANGEETA SUZUKI","Domestic Bike Dealers","3rd Km Stone, Nizampur Road, Narnaul, Dist Mahendargarh - 123001 Haryana","Mahendragarh","Haryana","123001","9812000060 /9416261631 /9728209951  /9812001519","narnaul.mohanlal.sales@suzukidealers.net"
"SAPTAGIRI SUZUKI","Domestic Bike Dealers","No.78, Vijayashree Complex, Opp. Karnataka Bank Ltd., HMT Main Road, Mathikere, Bangalore-560054,  Karnataka","Bangalore","Karnataka","560054","9620152020; 9845029331","bangalore.saptagiri2.sales@suzukidealers.net"
"SARANG SUZUKI","Domestic Bike Dealers","C/o Shyam Agencies, Hyderabad Road, Nizamabad-503003, Andhra Pradesh","Nizamabad","Telangana","503003","9848071036,08462-236671,235569,9949244448","nizamabad.sarang.sales@suzukidealers.net"
"SARDA SUZUKI","Domestic Bike Dealers","27, 14/3 Vikas Nagar,Ambedkar Road, Neemuch - 458441 Madhya Pradesh","Neemuch","Madhya Pradesh","458441","9407101185 9229848666/  9009685291/ 8989238503","neemuch.sarda.sales@suzukidealers.net"
"Seba Suzuki","Domestic Bike Dealers","AT- CHHANCHA, POST- BARIPADA, NEAR INCOME TAX OFFICE, DISTT.- MAYURBHANJ, PIN- 757001, STATE-ODISHA","Mayurbhanj","Odisha","757001","06792-257000,9040352829,9437086878","baripada.seba.sales@suzukidealers.net"
"SEEMA SUZUKI","Domestic Bike Dealers","Plot No: 80 , Near Vimal Agro, Ten- G.I.D.C, Bardoli - Surat Road , Bardoli -394601, Gujarat.","Surat","Gujarat","394601","9712587000, 7573917771, 7573917790, 7573917772","bardoli.seema.sales@suzukidealers.net"
"SHAHI SUZUKI","Domestic Bike Dealers","Nabha Road, Malerkotla Distt. Sangrur, Punjab-148023","Sangrur","Punjab","148023","9417100554","malerkotla.shahi.sales@suzukidealers.net"
